path,file_name,class
./Audio_Dataset/training_data/metal/metal.00022.wav,metal.00022.wav,metal
./Audio_Dataset/training_data/metal/metal.00036.wav,metal.00036.wav,metal
./Audio_Dataset/training_data/metal/metal.00037.wav,metal.00037.wav,metal
./Audio_Dataset/training_data/metal/metal.00023.wav,metal.00023.wav,metal
./Audio_Dataset/training_data/metal/metal.00009.wav,metal.00009.wav,metal
./Audio_Dataset/training_data/metal/metal.00035.wav,metal.00035.wav,metal
./Audio_Dataset/training_data/metal/metal.00021.wav,metal.00021.wav,metal
./Audio_Dataset/training_data/metal/metal.00020.wav,metal.00020.wav,metal
./Audio_Dataset/training_data/metal/metal.00034.wav,metal.00034.wav,metal
./Audio_Dataset/training_data/metal/metal.00008.wav,metal.00008.wav,metal
./Audio_Dataset/training_data/metal/metal.00030.wav,metal.00030.wav,metal
./Audio_Dataset/training_data/metal/metal.00024.wav,metal.00024.wav,metal
./Audio_Dataset/training_data/metal/metal.00018.wav,metal.00018.wav,metal
./Audio_Dataset/training_data/metal/metal.00019.wav,metal.00019.wav,metal
./Audio_Dataset/training_data/metal/metal.00025.wav,metal.00025.wav,metal
./Audio_Dataset/training_data/metal/metal.00031.wav,metal.00031.wav,metal
./Audio_Dataset/training_data/metal/metal.00027.wav,metal.00027.wav,metal
./Audio_Dataset/training_data/metal/metal.00033.wav,metal.00033.wav,metal
./Audio_Dataset/training_data/metal/metal.00032.wav,metal.00032.wav,metal
./Audio_Dataset/training_data/metal/metal.00026.wav,metal.00026.wav,metal
./Audio_Dataset/training_data/metal/metal.00069.wav,metal.00069.wav,metal
./Audio_Dataset/training_data/metal/metal.00041.wav,metal.00041.wav,metal
./Audio_Dataset/training_data/metal/metal.00055.wav,metal.00055.wav,metal
./Audio_Dataset/training_data/metal/metal.00054.wav,metal.00054.wav,metal
./Audio_Dataset/training_data/metal/metal.00040.wav,metal.00040.wav,metal
./Audio_Dataset/training_data/metal/metal.00068.wav,metal.00068.wav,metal
./Audio_Dataset/training_data/metal/metal.00056.wav,metal.00056.wav,metal
./Audio_Dataset/training_data/metal/metal.00042.wav,metal.00042.wav,metal
./Audio_Dataset/training_data/metal/metal.00043.wav,metal.00043.wav,metal
./Audio_Dataset/training_data/metal/metal.00057.wav,metal.00057.wav,metal
./Audio_Dataset/training_data/metal/metal.00053.wav,metal.00053.wav,metal
./Audio_Dataset/training_data/metal/metal.00047.wav,metal.00047.wav,metal
./Audio_Dataset/training_data/metal/metal.00046.wav,metal.00046.wav,metal
./Audio_Dataset/training_data/metal/metal.00052.wav,metal.00052.wav,metal
./Audio_Dataset/training_data/metal/metal.00044.wav,metal.00044.wav,metal
./Audio_Dataset/training_data/metal/metal.00050.wav,metal.00050.wav,metal
./Audio_Dataset/training_data/metal/metal.00078.wav,metal.00078.wav,metal
./Audio_Dataset/training_data/metal/metal.00079.wav,metal.00079.wav,metal
./Audio_Dataset/training_data/metal/metal.00051.wav,metal.00051.wav,metal
./Audio_Dataset/training_data/metal/metal.00045.wav,metal.00045.wav,metal
./Audio_Dataset/training_data/metal/metal.00048.wav,metal.00048.wav,metal
./Audio_Dataset/training_data/metal/metal.00060.wav,metal.00060.wav,metal
./Audio_Dataset/training_data/metal/metal.00074.wav,metal.00074.wav,metal
./Audio_Dataset/training_data/metal/metal.00075.wav,metal.00075.wav,metal
./Audio_Dataset/training_data/metal/metal.00061.wav,metal.00061.wav,metal
./Audio_Dataset/training_data/metal/metal.00049.wav,metal.00049.wav,metal
./Audio_Dataset/training_data/metal/metal.00077.wav,metal.00077.wav,metal
./Audio_Dataset/training_data/metal/metal.00063.wav,metal.00063.wav,metal
./Audio_Dataset/training_data/metal/metal.00062.wav,metal.00062.wav,metal
./Audio_Dataset/training_data/metal/metal.00076.wav,metal.00076.wav,metal
./Audio_Dataset/training_data/metal/metal.00072.wav,metal.00072.wav,metal
./Audio_Dataset/training_data/metal/metal.00066.wav,metal.00066.wav,metal
./Audio_Dataset/training_data/metal/metal.00067.wav,metal.00067.wav,metal
./Audio_Dataset/training_data/metal/metal.00073.wav,metal.00073.wav,metal
./Audio_Dataset/training_data/metal/metal.00065.wav,metal.00065.wav,metal
./Audio_Dataset/training_data/metal/metal.00071.wav,metal.00071.wav,metal
./Audio_Dataset/training_data/metal/metal.00059.wav,metal.00059.wav,metal
./Audio_Dataset/training_data/metal/metal.00058.wav,metal.00058.wav,metal
./Audio_Dataset/training_data/metal/metal.00070.wav,metal.00070.wav,metal
./Audio_Dataset/training_data/metal/metal.00064.wav,metal.00064.wav,metal
./Audio_Dataset/training_data/metal/metal.00003.wav,metal.00003.wav,metal
./Audio_Dataset/training_data/metal/metal.00017.wav,metal.00017.wav,metal
./Audio_Dataset/training_data/metal/metal.00016.wav,metal.00016.wav,metal
./Audio_Dataset/training_data/metal/metal.00002.wav,metal.00002.wav,metal
./Audio_Dataset/training_data/metal/metal.00028.wav,metal.00028.wav,metal
./Audio_Dataset/training_data/metal/metal.00014.wav,metal.00014.wav,metal
